status.of.existing.checking.account,duration.in.month,credit.history,purpose,credit.amount,savings.account.and.bonds,present.employment.since,installment.rate.in.percentage.of.disposable.income,personal.status.and.sex,other.debtors.or.guarantors,present.residence.since,property,age.in.years,other.installment.plans,housing,number.of.existing.credits.at.this.bank,job,number.of.people.being.liable.to.provide.maintenance.for,telephone,foreign.worker,y
... < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,... < 100 DM,... >= 7 years,2,male : single,guarantor,4,building society savings agreement/ life insurance,43,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,
... < 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,1231,... >= 1000 DM,... >= 7 years,4,male : married/widowed,none,4,building society savings agreement/ life insurance,57,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,618,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes,
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,none,yes,
no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/ no savings account,... < 1 year,1,male : single,none,4,real estate,31,none,rent,1,skilled employee / official,1,none,yes,
... < 0 DM,60,delay in paying off in the past,business,6836,... < 100 DM,... >= 7 years,3,male : divorced/separated,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,
... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,... < 100 DM,... < 1 year,2,male : single,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes,
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),12976,... < 100 DM,unemployed,3,male : single,none,4,unknown / no property,38,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,
... < 0 DM,36,critical account/ other credits existing (not at this bank),car (used),9629,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,
... < 0 DM,36,existing credits paid back duly till now,car (used),8229,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2,none,yes,
no checking account,24,critical account/ other credits existing (not at this bank),car (used),2197,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,4,"car or other, not in attribute Savings account/bonds",43,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,42,stores,own,1,skilled employee / official,1,none,yes,
... < 0 DM,24,existing credits paid back duly till now,car (new),3123,... < 100 DM,... < 1 year,4,male : single,none,1,building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,
no checking account,9,existing credits paid back duly till now,car (new),3577,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no,
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1042,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,none,yes,
no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : divorced/separated,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,36,none,for free,2,skilled employee / official,1,none,yes,
... >= 200 DM / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),1343,... < 100 DM,... >= 7 years,1,male : single,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no,
... < 0 DM,15,existing credits paid back duly till now,car (new),3959,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,
... < 0 DM,9,existing credits paid back duly till now,radio/television,1366,... < 100 DM,... < 1 year,3,male : married/widowed,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,
... < 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,2,building society savings agreement/ life insurance,33,bank,rent,2,skilled employee / official,1,none,no,
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,... < 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,"car or other, not in attribute Savings account/bonds",38,none,own,1,skilled employee / official,1,none,yes,
... < 0 DM,15,existing credits paid back duly till now,car (new),2511,... < 100 DM,unemployed,1,male : single,none,4,"car or other, not in attribute Savings account/bonds",23,none,rent,1,skilled employee / official,1,none,yes,
0 <= ... < 200 DM,6,existing credits paid back duly till now,radio/television,1068,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute Savings account/bonds",28,none,own,1,skilled employee / official,2,none,yes,
0 <= ... < 200 DM,6,delay in paying off in the past,car (new),1209,... < 100 DM,unemployed,4,male : single,none,4,building society savings agreement/ life insurance,47,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,
... < 0 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : divorced/separated,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,
... < 0 DM,28,existing credits paid back duly till now,car (new),4006,... < 100 DM,1 <= ... < 4 years,3,male : married/widowed,none,2,"car or other, not in attribute Savings account/bonds",45,none,own,1,unskilled - resident,1,none,yes,
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 <= ... < 500 DM,... < 1 year,4,male : single,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2,none,yes,
... < 0 DM,36,critical account/ other credits existing (not at this bank),education,8065,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,unknown / no property,25,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,
no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,
0 <= ... < 200 DM,48,delay in paying off in the past,others,7582,100 <= ... < 500 DM,unemployed,2,female : divorced/separated/married,none,4,unknown / no property,31,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,
0 <= ... < 200 DM,30,delay in paying off in the past,business,2503,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,41,stores,own,2,skilled employee / official,1,none,yes,
0 <= ... < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,"car or other, not in attribute Savings account/bonds",43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 <= ... < 7 years,4,male : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,
... < 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,... < 100 DM,... >= 7 years,2,male : single,none,2,building society savings agreement/ life insurance,41,bank,own,1,skilled employee / official,2,none,yes,
no checking account,24,existing credits paid back duly till now,furniture/equipment,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute Savings account/bonds",25,stores,own,1,skilled employee / official,1,none,yes,
... < 0 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,"car or other, not in attribute Savings account/bonds",30,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,797,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,33,bank,own,1,unskilled - resident,2,none,yes,
no checking account,12,critical account/ other credits existing (not at this bank),education,2748,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,57,bank,for free,3,unskilled - resident,1,none,yes,
0 <= ... < 200 DM,18,delay in paying off in the past,business,2427,unknown/ no savings account,... >= 7 years,4,male : married/widowed,none,2,building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,1,none,yes,
... >= 200 DM / salary assignments for at least 1 year,24,critical account/ other credits existing (not at this bank),car (new),1344,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,
